2024/12/31 (18:48:58) | ===> btop++ v.1.4.0
2024/12/31 (18:48:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (20:53:17) | ===> btop++ v.1.4.0
2025/01/05 (20:53:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (02:56:48) | ===> btop++ v.1.4.0
2025/01/15 (02:56:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (03:11:58) | ===> btop++ v.1.4.0
2025/01/15 (03:11:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (19:29:20) | ===> btop++ v.1.4.0
2025/02/01 (19:29:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (18:29:25) | ===> btop++ v.1.4.0
2025/03/10 (18:29:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (20:30:46) | ===> btop++ v.1.4.0
2025/03/13 (20:30:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (02:08:33) | ===> btop++ v.1.4.0
2025/03/19 (02:08:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (19:42:18) | ===> btop++ v.1.4.0
2025/04/01 (19:42:18) | WARNING: Intel GPU: Failed to initialize PMU
